ID,mse,w_cost,b,scale,test_acc
Z6PMZ8UK,0.26972946511363793,0.4574649355239389,-0.03182194009484806,2.7280876407717756,0.551282029758707
GTDAS4GM,0.34470390249923516,0.5152923044480677,-0.08325352603518163,2.86676518720695,0.5288682942107699
AUXKJ27B,0.43510215564733484,0.4415961239978941,0.16378867769019897,2.8740098661334583,0.4729854553188028
QH026G52,0.18827244251157194,0.4735890445551417,-0.04039022606914636,3.7516550494139613,0.7986246485402317
PI8SFZN8,0.2467144583020148,0.5705296727164608,-0.12873467937529612,2.583382436325348,0.5530208728884112
K5PTHLL6,0.08551202073344007,0.4381862985561496,-0.30357050703522304,0.6289417289466487,0.12245681416826147
Q8XDAOE3,0.1308492615051221,0.47240726612954775,0.07824016125867962,2.1717390965562324,0.6159302211817568
UB6T17K1,0.19049171826936084,0.6011286244131132,-0.1366900516109928,1.5892116896837176,0.29622830226829816
KYJZ17O9,0.13635163136668152,0.5965244009299078,-0.22842820570401887,2.6788710832056437,0.6701189146129277
HV05PDE5,0.39341474848943236,0.4691702243478467,-0.10658290551105079,2.01260060250436,0.3009049161862165
SSRJVJOA,0.5084883902772271,0.6358530609204796,-0.14682285733616213,2.5177877687995496,0.30263086690796537
GL8A5W2X,0.1217174896015488,0.6568664784346852,-0.22815360138268642,2.300020554615716,0.6613605188515733
FANFDTGF,0.1537237703632095,0.3884025750854271,-0.10268385330277406,2.0777418003423995,0.6054159563288026
Z5Z01L14,0.22568227596880475,0.41863129989129433,0.016634426574332898,2.7164117942917096,0.5353924587035801
STEVQFM7,0.2562896312260892,0.44251266137069123,-0.07810206965275199,2.2065680478206353,0.46742272385718936
FLCJYUOE,0.20182345095524343,0.673520869873,-0.30346114951078956,1.1923149338333199,0.18025058616124126
LOUARDY5,0.4315134170925383,0.39739017452111397,0.2839708688111898,2.648292444715484,0.4721295840262633
HBWS3WRO,0.22022457040796645,0.4437082081082333,-0.03732613920069881,3.2583731518831973,0.7171920422484264
ZJD9JZUZ,0.3121555935454197,0.4388993269877571,0.17459554890171677,3.0012362798841803,0.5323532121176694
B6FTZK8C,0.26451699205399787,0.3155882930485163,0.34762720831814936,1.46626364263425,0.36485679203835675
OUPK9NEB,0.2788120949670561,0.6751079061775409,-0.364650049861522,1.8548461870277069,0.3125594918031036
K73KC1UA,0.043556474899847986,0.20575210777195066,-0.13513718576514905,0.6147354008938045,0.3644687495828725
8XBY00ER,0.1607283065650179,0.5787199098405985,-0.36675164546479067,1.6400422097321092,0.3975465242037783
GD9WWI5X,0.3128480749446204,0.38054573476327597,0.06672639486027532,2.3777832779863037,0.5234719448780508
0VHV7J5M,0.11836021662824248,0.6692518175189571,-0.30538468011340064,1.147127702294279,0.24989558834104766
EAD9PTSG,0.07307608323170565,0.44196882470492466,-0.04415073786704608,2.149210329070745,0.7831055071642995
4JX9UQRW,0.3225794184632125,0.597671435244098,-0.1490577126305948,3.450749099542244,0.5935603591822007
MEEGF97M,0.37253004404374684,0.295470037349083,1.0,0.8364099917679052,-0.05678116249064916
NK21IFFF,0.12627373912942388,0.5671666073108472,-0.03887148694361709,1.6089310577991998,0.47533376961004126
FHONN03W,0.2218544470335522,0.5368471499279774,-0.14165378769464143,2.150839463453769,0.48207782652778547
Z65DDRON,0.03417685815969901,0.0,-1.0,0.44432323286621267,0.22169710902048245
8JDP1S3Z,0.152749515739492,0.429705523970027,-0.22820227531249077,1.570593900805494,0.48881687490028525
L9QZ9799,0.3739926637895861,0.33166829045354923,0.07343884985126586,2.3211912624486475,0.4763929219653081
YL4D1KO7,0.39562061406621923,0.41355956760286366,0.03729115236783448,3.3413211983703586,0.6089326294579286
YCCX1M79,0.16279976902624566,0.6202573549989575,0.028833912990111416,1.3018709015582781,0.24483406983822836
ELF75Z11,0.3785799185061787,0.3598297386232586,0.08076941199778256,2.5143835399277994,0.5024100469158872
88SKGELB,0.08460667834903889,0.5133887877822357,-0.13766675411959733,1.8780864012578347,0.6153946933706526
KM0U7C3O,0.1867918347168011,0.5374478987439936,-0.2400577637672344,2.5992366066836965,0.5443679197687463
3C9HH4P4,0.19538830519105277,0.5994242565946265,-0.38578398915830525,1.097541611112825,0.1773950182367298
FPY3G2RN,0.17517355090369535,0.37153935337614946,-0.12998223057839142,1.6626157862743012,0.4810698666737133
PV9L0NK4,0.1862246811937133,0.6131534346744173,-0.3026610046560522,1.8547469426266623,0.4357024019031271
Y3ZW90BS,0.12255143241054123,0.3365152193204964,-0.23923789084175945,1.3577614722427687,0.461096119587346
ZRL8UU89,0.41526359114812456,0.43743314387167276,-0.04406523445228535,2.068177860426423,0.3021467706585522
2353145V,0.228103976320429,0.23406099977808636,0.3441596054581443,2.234121763888983,0.6472925666157865
N9AJLIYJ,0.4917221306290234,0.6409361716929451,-0.17494006005728738,1.8184840977474024,0.18671728981081515
92AMSAAZ,0.4055454032763158,0.5187505705994488,0.1442004341850706,2.146729932561216,0.28731593956608814
N83IXPDK,0.2488326152883205,0.0,-1.0,0.29349778311545854,-0.07505897254432099
JOVIWOO2,0.11145161912781075,0.42157532027005734,-1.0,0.19001477237531741,-0.26903751205666215
1GDCKLZO,0.10946681295793717,0.36987154261355315,-0.2560579386214974,1.5752326055815375,0.6014514106050965
X67R06MS,0.1559452930034322,0.5577687331299382,-0.5428901248878621,1.1941910908939113,0.2820560308649359
Y4N8MCWN,0.12097340985819663,0.49817044830406376,-0.13000457371329296,2.9816277690844553,0.7687230051640433
YOMA8T3S,0.20153861357166236,0.49913666136819407,0.18772592576148384,1.4274499686942907,0.32499200919257504
RE74M6LL,0.1620745335436047,0.28281358169826865,0.10918362305606964,2.508993574362739,0.728494750846573
WPMH56EI,0.5148410756576898,0.1710419250984192,0.32118342019330104,2.0929875550102848,0.4165940491500283
PTS6FGY5,0.20344739929907157,0.5654350982746446,-0.10262452480405218,2.885777475107251,0.6285788360319494
F7ARKNCT,0.41635749057778104,0.22078263407044763,-0.3171290535144215,0.7332372463210994,-0.019530096157770564
1EN8B1B1,0.18249413219288985,0.5678626176664341,-0.21478413639014726,2.1931288477663764,0.5694538859429374
C23E9AKY,0.1541072229920577,0.47391178222307917,-0.20898694675821772,2.0636367425279363,0.6028407824213952
S8PAC0ZH,0.08024391117959614,0.554075689752216,-0.6838042335353162,1.0137645146413456,0.35785799089201087
HM7GOAF9,0.2551378419808493,0.37095481089114946,-0.13739468509266095,1.510692634851836,0.3108548327795283
LAA1OD1K,0.17773064922307452,0.5738533635352183,-0.12703402479064457,2.9366691493173644,0.6531648672124544
0IT5KN4M,0.3712270627906126,0.5851472444667207,-0.11787086951577225,2.6144369729121633,0.42713992127950845
