ID,neg_llh,r2,AIC,BIC,w_cost,w_benefit,b,beta,test_acc
Z6PMZ8UK,25.340025621117082,0.2688414140083022,58.680051242234164,66.32814326394674,1.986227665522484,2.706162233190395,-0.2534297921121979,1.5495650645147039,0.7
GTDAS4GM,19.22559302607182,0.4452666456627349,46.45118605214364,54.099278073856226,2.56543283437869,2.2774108641770683,-0.46719224411813837,2.584599100316608,0.82
AUXKJ27B,26.32099745399294,0.2405365500374671,60.64199490798588,68.29008692969846,1.8606007122801136,1.4672635126075524,0.18120928138310274,2.650119418923953,0.74
QH026G52,13.362775946517454,0.6144317881889789,34.725551893034904,42.37364391474749,2.0263289382418317,2.8173068155263743,0.08109820917294328,4.602881008533001,0.82
PI8SFZN8,21.83269099225337,0.37004169952429844,51.66538198450674,59.31347400621932,3.0,2.10322468695857,-0.5750985153481514,2.3666274735812984,0.78
K5PTHLL6,18.793120171024214,0.45774517452866037,45.58624034204843,53.23433236376101,-0.6192919804281396,2.963895085331616,-0.247527242127555,1.0182567053449472,0.86
Q8XDAOE3,25.564386957123002,0.262367714271843,59.128773914246004,66.77686593595858,1.7329750043826344,2.1324012449159246,0.4802185277444099,2.781293604842443,0.74
UB6T17K1,28.072591716367253,0.1899962229179274,64.14518343273451,71.79327545444708,2.9979288071640466,1.5868390966252868,-0.9036512312005865,1.6927028055390072,0.66
KYJZ17O9,18.52409510377504,0.4655075971365644,45.04819020755008,52.696282229262664,2.3635378414308383,2.780582256334711,-0.5145088696562736,2.415341371879214,0.74
HV05PDE5,20.609067277187517,0.4053480168370912,49.218134554375034,56.86622657608762,1.3497406952373114,2.8539148099196767,0.0715842315846591,1.9211015216295726,0.74
SSRJVJOA,30.38120443067171,0.1233837406327225,68.76240886134342,76.410500883056,3.0,1.9774348582900885,-0.7013639065367613,1.2119695528542138,0.7
GL8A5W2X,17.714896668397845,0.4888561285328402,43.42979333679569,51.077885358508276,3.0,2.240893503794076,-0.7586861623573877,2.513541201455319,0.82
FANFDTGF,21.93577449453665,0.3670673383734674,51.8715489890733,59.51964101078588,1.0033745050956036,2.999358361890332,-0.015525940050851512,1.525887390699561,0.74
Z5Z01L14,25.810126804485428,0.2552771610890713,59.620253608970856,67.26834563068344,2.888452942049244,3.0,-0.38895014201593525,1.5477707947454669,0.74
STEVQFM7,22.50919121445883,0.3505220292095764,53.01838242891766,60.66647445063025,3.0,2.2182203068500743,-1.0284343424722213,1.7891193887690906,0.72
FLCJYUOE,28.60935417702995,0.17450853211525885,65.2187083540599,72.86680037577248,2.5128568207665065,2.7508287616930978,-0.8841100965963469,0.8131056921586035,0.66
LOUARDY5,21.530389352768196,0.37876428104705573,51.06077870553639,58.70887072724898,1.328730484565942,2.2515199051548564,1.0326586624936622,2.83172610688711,0.74
HBWS3WRO,14.385281750813762,0.5849285071262096,36.77056350162752,44.41865552334011,1.7063175157963357,2.870136849702582,-0.12501190050718564,2.987444255846086,0.86
ZJD9JZUZ,24.901709242927197,0.2814885513114014,57.803418485854394,65.45151050756698,1.54302820499416,2.037550029874817,0.7009165600397754,2.680750282158359,0.7
B6FTZK8C,28.256059596546322,0.18470245889999237,64.51211919309264,72.16021121480523,1.332512571641102,1.2441008238512974,0.3310229110585244,2.4971954667966254,0.56
OUPK9NEB,22.889551388609146,0.32606852496898975,53.77910277721829,61.3463839696608,2.378041674955001,0.9233472031525612,-1.2395922861908306,2.225390126677278,0.7346938775510204
K73KC1UA,12.933775633836571,0.6268101206618694,33.86755126767314,41.51564328938573,2.9999993059407397,2.807360524862115,-1.7858916748089166,1.5267410537917132,0.86
8XBY00ER,16.468355756697402,0.5248236963643489,40.936711513394805,48.58480353510739,2.4180050462055487,2.999999911847319,-0.6809991055233671,2.1536236565089197,0.84
GD9WWI5X,26.166614841588213,0.24499109062378277,60.33322968317643,67.98132170488901,1.7593208662551751,2.9999968048039216,0.5071882660136955,1.612491631920401,0.7
0VHV7J5M,26.32327279071236,0.2404708976974379,60.64654558142472,68.2946376031373,2.527775850628695,1.8116262877084608,-1.5556172936553057,0.859875925053317,0.72
EAD9PTSG,20.39918771333079,0.411403860956292,48.79837542666158,56.446467448374165,2.909817576987444,3.0,-0.4721937292895156,1.9543357325687818,0.82
4JX9UQRW,23.767853946368238,0.3142046995800273,55.535707892736475,63.18379991444906,2.9963271454744342,1.0360665912945293,-1.2016740850088266,2.627849817854608,0.72
MEEGF97M,24.222868271456207,0.3010757613732703,56.445736542912414,64.093828564625,-0.48186701121901304,1.0244591201764708,1.481877030200004,1.782490821571464,0.8
NK21IFFF,29.94681087559355,0.13591768918683023,67.8936217511871,75.54171377289968,3.0,2.432290802842535,-0.09304228539216651,1.2237394090304927,0.62
FHONN03W,22.41543701501638,0.35322720358153925,52.83087403003276,60.478966051745346,2.7279077191633356,2.7921770608718393,-0.7375895308662754,1.6120353914843724,0.74
Z65DDRON,-0.0004988541100983079,1.0000143938870154,7.999002291779804,15.647094313492387,-3.0,3.0,-3.0,3.3898757268121193,1.0
8JDP1S3Z,12.016382476722063,0.6462045834981233,32.03276495344413,39.60004614588663,2.631294576622816,3.0,-0.8748217289503512,2.426245891843137,0.8571428571428571
L9QZ9799,27.99292047702287,0.1922950489559998,63.98584095404574,71.63393297575833,0.8193401554671129,3.0,0.9253950222885505,1.475119859001999,0.7
YL4D1KO7,19.630079632052837,0.4335956292516385,47.260159264105674,54.90825128581826,1.5069601325802433,2.9990139729396668,0.516088288933218,2.7820673380367675,0.78
YCCX1M79,28.253412968626282,0.18477882443949878,64.50682593725256,72.15491795896514,1.3358540618034829,0.7654562986382527,0.1619942576711635,2.313283464397335,0.68
ELF75Z11,27.28432884137487,0.21274068173129523,62.56865768274974,70.21674970446232,2.47054626572251,3.0,-0.06181053758154238,1.3493286989010815,0.68
88SKGELB,7.730139653682544,0.7769553171250613,23.460279307365088,31.10837132907767,3.0,1.731027371179327,-1.3282462576114136,5.688222928837524,0.88
KM0U7C3O,10.043415392442848,0.7102082883946965,28.086830784885695,35.73492280659828,2.5923196639358705,2.9990461560958193,-0.5753440693685703,3.41879572149771,0.86
3C9HH4P4,23.590616045582998,0.3054272493779959,55.181232091165995,62.7485132836085,2.5236199889296027,1.9865182150474068,-1.2663634543487832,1.250037045626334,0.7142857142857143
FPY3G2RN,19.895446801426083,0.42593875126624803,47.790893602852165,55.43898562456475,3.0,1.9656497384026745,-1.513610568914694,1.625226141859189,0.78
PV9L0NK4,20.708398976641295,0.40248190983299037,49.41679795328259,57.064889974995175,2.835333313067804,3.0,-1.3621844743231575,1.081917526719471,0.78
