ID,neg_llh,r2,AIC,BIC,w_cost,alpha,b,beta,test_acc
Z6PMZ8UK,24.876250920345495,0.28222312322616083,57.75250184069099,65.40059386240357,0.30071217392218597,0.3198059008202904,0.2997039290399488,10.0,0.72
GTDAS4GM,19.031413651176265,0.45086947808682964,46.06282730235253,53.71091932406512,0.416332461775019,0.5599890060352062,0.09189699698834208,10.0,0.84
AUXKJ27B,25.754363010206156,0.25688616407842846,59.50872602041231,67.1568180421249,0.5960904444402567,2.0425067121137936,-0.06568181506991586,8.830937355758033,0.76
QH026G52,15.987922155182769,0.5386860798519806,39.97584431036554,47.623936332078124,0.331757500055702,1.0231303473573352,0.0760057037154129,10.0,0.78
PI8SFZN8,21.763724906896712,0.3720316401109699,51.527449813793424,59.17554183550601,0.5130469084568989,0.6190063725435783,0.018015149494529592,10.0,0.8
K5PTHLL6,17.718699005369288,0.4887464162789904,43.437398010738576,51.08549003245116,0.0,3.0,-0.11572373563001266,8.204518946253097,0.86
Q8XDAOE3,33.84120669608023,0.023549178437333507,75.68241339216046,83.33050541387304,0.9980129684026604,2.9999997908883524,1.520849685070247,0.1848411970562998,0.62
UB6T17K1,27.27217442421231,0.21309138407860162,62.54434884842462,70.1924408701372,0.45585797598758254,0.24442856677915084,0.18077276158806588,10.0,0.68
KYJZ17O9,18.722031231049062,0.45979636775194443,45.444062462098124,53.09215448381071,0.42361366725584154,1.080171116001383,-0.0939773810641119,10.0,0.76
HV05PDE5,20.574816746998785,0.40633627823811325,49.14963349399757,56.797725515710155,0.27057090827226427,0.5107324205437731,0.22759904384020055,9.387239852770126,0.7
SSRJVJOA,29.726131900841494,0.14228513843689528,67.45226380168299,75.10035582339557,0.33639824260223194,0.22669209321442563,0.36565898237868694,10.0,0.7
GL8A5W2X,18.031546387964504,0.4797195489304862,44.06309277592901,51.71118479764159,0.4981470040896152,0.725303800378263,-0.044718550705265474,10.0,0.84
FANFDTGF,21.392733895070293,0.38273617797049697,50.785467790140586,58.43355981185317,0.19534709672909792,2.959429639056654,-0.11850807053492785,10.0,0.72
Z5Z01L14,25.468477094332236,0.26513508794025453,58.93695418866447,66.58504621037706,0.3993787345456004,0.46507598010564005,0.15856447462734513,10.0,0.72
STEVQFM7,28.65184586657053,0.17328248111967515,65.30369173314105,72.95178375485364,1.1913511246158934e-12,0.0,-3.0,0.2614983784574577,0.72
FLCJYUOE,27.31835134506953,0.21175899978411694,62.63670269013906,70.28479471185165,0.37062613618087925,3.0,-0.21706452678210378,5.430111266021407,0.64
LOUARDY5,21.45497529188082,0.380940270880166,50.90995058376164,58.55804260547423,0.41626525396353775,1.5692681920809093,0.17227154097762226,9.666398621822406,0.7
HBWS3WRO,14.454919692443628,0.5829191808652672,36.909839384887256,44.55793140659984,0.30037609796056164,0.6025479945570458,0.1254532352248129,10.0,0.88
ZJD9JZUZ,28.885533347507923,0.16653968572235078,65.77106669501585,73.41915871672843,0.2098448467449033,0.8365417207912894,0.6182027269515198,2.402442222172387,0.78
B6FTZK8C,29.9939044740586,0.13455885516756738,67.98780894811719,75.63590096982978,0.44211984230989015,0.6727245469012191,0.4409007251498758,2.294849168742941,0.54
OUPK9NEB,22.813638360688742,0.32830361372245165,53.627276721377484,61.19455791381999,0.6705979551625946,0.4920959428906558,-0.2572495045993223,7.899528815134953,0.7346938775510204
K73KC1UA,16.25314867957352,0.5310332600229656,40.50629735914704,48.15438938085963,1.3612551080695982e-12,0.0,-3.0,0.5493281486381111,0.88
