ID,neg_llh,r2,AIC,BIC,w_cost,b,w_urgency,beta,test_acc
Z6PMZ8UK,25.340025621092455,0.26884141400901285,58.68005124218491,66.32814326389749,0.4232858567510391,0.008581070421514216,-0.06258878155719863,7.271156626040416,0.7
GTDAS4GM,19.463802361757725,0.4383933771169848,46.92760472351545,54.575696745228036,0.49078848358800015,-0.9999999999994514,0.9257829419592779,10.0,0.84
AUXKJ27B,26.320997453932204,0.2405365500392196,60.64199490786441,68.29008692957699,0.559096619739899,0.03517769438952268,0.01927555108322385,8.819237445460105,0.74
QH026G52,15.988953430737185,0.5386563235294177,39.97790686147437,47.62599888318695,0.33114245305331763,-0.7263217340347523,0.8076927334131456,10.0,0.8
PI8SFZN8,22.02910907402878,0.3643742716739322,52.05821814805756,59.70631016977015,0.5666609553436847,0.13761197314440723,-0.23733007058636996,10.0,0.8
K5PTHLL6,18.832275002471302,0.4566154049055492,45.664550004942605,53.31264202665519,0.0,-0.06666283221253969,-0.11700123843978681,2.9957932623893178,0.86
Q8XDAOE3,25.588572795554228,0.2616698584885535,59.177145591108456,66.82523761282104,0.43896335802652664,-0.8651736398683654,1.0,10.0,0.72
UB6T17K1,28.072591716202194,0.18999622292269003,64.1451834324044,71.79327545411697,0.6538909953041687,-0.04719363572643581,-0.1499073105667498,7.760660086762897,0.68
KYJZ17O9,18.72676735391678,0.4596597121324585,45.45353470783356,53.10162672954615,0.4246113677925078,-0.4174710184224458,0.336168457865522,10.0,0.76
HV05PDE5,20.609067277186213,0.40534801683712873,49.218134554372426,56.86622657608501,0.32108747546047395,0.05548352717493742,-0.038454380748822306,8.075650226664752,0.74
SSRJVJOA,30.381204430663068,0.12338374063297175,68.76240886132614,76.41050088303872,0.6027193933281437,-0.048207053362399555,-0.09270097819777774,6.032492934908362,0.68
GL8A5W2X,18.108778021966042,0.4774911150230108,44.217556043932085,51.86564806564467,0.5273293557755616,-0.034077076198008885,-0.08377041663620602,10.0,0.84
FANFDTGF,21.935774494551488,0.3670673383730392,51.871548989102976,59.51964101081556,0.2506735985160904,0.035187487835585514,-0.03906737947295993,6.107719099846422,0.74
Z5Z01L14,25.810126804490068,0.2552771610889374,59.620253608980136,67.26834563069272,0.4905280955635547,-0.1379939209081774,0.07194104693296641,9.113965842626447,0.74
STEVQFM7,22.509191214459886,0.350522029209546,53.01838242891977,60.66647445063236,0.5749087750612926,-0.04152253727356042,-0.15556280389392907,9.33601849140922,0.72
FLCJYUOE,28.6093541762055,0.17450853213904738,65.218708352411,72.86680037412359,0.47739910565699695,-0.033488332263845795,-0.13447565653149732,4.279973857930961,0.66
LOUARDY5,21.53118679387502,0.37874127176045147,51.06237358775004,58.710465609462624,0.36943218985259096,0.4038223942003323,-0.11294070121016568,10.0,0.76
HBWS3WRO,14.75538874392909,0.5742494766548933,37.51077748785818,45.15886950957076,0.3241974974965185,-0.9987226070496228,0.993517312293936,10.0,0.88
ZJD9JZUZ,24.901709242916848,0.28148855131170003,57.803418485833696,65.45151050754627,0.43094343437139454,-0.6956198597421499,0.891375466012014,9.598635512482494,0.68
B6FTZK8C,28.256059596589925,0.18470245889873427,64.51211919317984,72.16021121489243,0.5171561129448038,0.02864711986115762,0.09982529935272919,6.4343280940820256,0.62
OUPK9NEB,22.889551388597948,0.3260685249693195,53.779102777195895,61.3463839696384,0.7203155377375929,-0.08452185088823712,-0.29095431653042675,7.346864160767112,0.7346938775510204
K73KC1UA,12.933775633840526,0.6268101206617553,33.86755126768105,41.51564328939364,0.516585313378008,-0.13894916572383656,-0.16857269568307745,8.866324571323807,0.86
8XBY00ER,16.54741845140295,0.5225424292129286,41.0948369028059,48.74292892451849,0.413942866120061,-0.1754343732366626,0.06332067989955308,10.0,0.84
GD9WWI5X,26.166614841588164,0.2449910906237842,60.33322968317633,67.98132170488891,0.36965824172511047,0.11200212594292104,-0.0054347462933605605,7.674359218900991,0.68
0VHV7J5M,26.32327279074974,0.24047089769635932,60.64654558149948,68.29463760321207,0.582516137530942,-0.139987756800612,-0.21849695235005978,3.731347877554118,0.76
EAD9PTSG,20.51417014105278,0.40808616939101416,49.02834028210556,56.676432303818146,0.4782656781780553,-0.9158267717174695,0.8431312971266995,10.0,0.84
4JX9UQRW,23.782700989087125,0.31377630448197924,55.56540197817425,63.213493999886836,0.7433717709138603,0.3443451259199315,-0.6461263373620272,10.0,0.72
MEEGF97M,24.2916556904817,0.2990909760071977,56.5833113809634,64.23140340267598,0.0,0.7169371619192404,0.5281670781744462,1.7977054298147541,0.8
NK21IFFF,34.65636158907325,2.8780003785366937e-05,77.3127231781465,84.96081519985908,0.0,-0.9999924853583804,-0.9999929614012022,1e-05,0.7
FHONN03W,22.41543701501489,0.3532272035815822,52.83087403002978,60.47896605174237,0.494178490847542,-0.0065162129057137,-0.12710285863580542,8.898584605825686,0.74
Z65DDRON,-0.000495716080362341,1.0000143033426165,7.999008567839275,15.64710058955186,0.0,-1.0,-1.0,6.851703173473662,1.0
8JDP1S3Z,12.341003233968193,0.6366468537706005,32.68200646793639,40.24928766037889,0.4325079674652479,0.033312664443687454,-0.18619890293661984,10.0,0.8163265306122449
L9QZ9799,27.992920476955497,0.1922950489579438,63.985840953910994,71.63393297562358,0.21452558232652427,0.25006982935748356,-0.007779228169637472,5.634009241327199,0.7
YL4D1KO7,19.91591379344642,0.42534819870845486,47.83182758689284,55.47991960860543,0.3187696030199167,-0.8779310971164687,1.0,10.0,0.78
YCCX1M79,28.253412968700765,0.1847788244373496,64.50682593740153,72.15491795911412,0.6357261574286593,-0.13882760827155327,0.21591731971343453,4.860932490711612,0.68
ELF75Z11,27.28432884139385,0.21274068173074756,62.5686576827877,70.21674970450029,0.4516079293091961,-1.0,0.9887017853014725,7.381555276941193,0.64
88SKGELB,10.543338156504575,0.6957835665439093,29.08667631300915,36.734768334721736,0.6171763659961832,-0.14475745051840985,-0.18439780791718938,10.0,0.9
KM0U7C3O,11.237428254238695,0.6757563597052862,30.47485650847739,38.12294853018997,0.34396240515543436,-0.011932377751957594,-0.04676353760048165,10.0,0.9
3C9HH4P4,23.590616045520832,0.30542724937982624,55.181232091041664,62.74851328348417,0.5595445863185758,-0.29560209138928456,0.014819425278473443,5.637813919392623,0.7142857142857143
FPY3G2RN,19.895446801442837,0.42593875126576464,47.790893602885674,55.43898562459826,0.60415043171847,-0.11147136209522156,-0.19334417222740555,8.070319342492715,0.78
PV9L0NK4,20.70839897213334,0.40248190996306243,49.41679794426668,57.06488996597927,0.4858988877712463,-0.0720032792494272,-0.161441544292161,6.313212004022171,0.78
Y3ZW90BS,15.857260933529139,0.5424561657823044,39.71452186705828,47.36261388877086,0.4636654491464344,-0.11779614230668398,-0.15755157815820198,6.887776938070173,0.86
ZRL8UU89,28.19758790902151,0.18638959517248144,64.39517581804301,72.0432678397556,0.4577069783500785,-0.1225271145239853,0.08335999339227411,6.127465387897655,0.72
2353145V,27.442603106449347,0.20817385178482928,62.885206212898694,70.53329823461128,0.0,0.36788319854390605,-0.02896289762602665,3.308090627275345,0.76
N9AJLIYJ,30.054944956222716,0.13279759914933453,68.10988991244542,75.75798193415801,0.6481393311939213,-0.12018057135855663,-0.03240802326109471,6.515195378815344,0.68
92AMSAAZ,31.916200802937418,0.07909310755171672,71.83240160587484,79.48049362758742,0.4420555998326636,0.1379683694845544,0.06823187574013755,3.8310290192945735,0.54
N83IXPDK,23.973435774080496,0.30827286191328007,55.94687154816099,63.59496356987358,0.0,-1.0,-1.0,0.59631893428285,0.82
JOVIWOO2,30.23570362881777,0.1275820063383234,68.47140725763555,76.11949927934812,0.8065808406407227,-0.3904751241278645,-0.42843956488376395,1.6355668594463022,0.66
1GDCKLZO,7.3809819330352955,0.7870298793663789,22.76196386607059,30.410055887783173,0.0,0.018659589085756503,-0.02044046086114333,9.384754287992784,0.94
X67R06MS,11.77518584727713,0.6602399554517475,31.55037169455426,39.19846371626684,0.0,-0.04012010666310238,-0.06156497926365517,4.885091171677451,0.92
Y4N8MCWN,12.746417389072786,0.632216136873677,33.49283477814557,41.14092679985816,0.20670190427929075,0.026442014330254608,0.050647048914666606,10.0,0.92
YOMA8T3S,29.93467398431267,0.1362678858440849,67.86934796862533,75.51743999033792,0.37727684160311414,-0.027060357966504602,0.42654697086998494,3.1694636614891514,0.62
RE74M6LL,18.68151347620054,0.4609654630317028,45.36302695240108,53.011118974113664,0.26523037481769274,-0.3553062120332623,0.49418796441626717,10.0,0.78
WPMH56EI,27.81825669735718,0.197334780330932,63.63651339471436,71.28460541642694,0.10540023605302122,0.3192360546971282,0.047200268233735757,5.345844179466631,0.64
PTS6FGY5,23.44616251923623,0.32348675211242417,54.89232503847246,62.54041706018504,0.6064013601090964,-0.006556617672804901,-0.1387415736935043,10.0,0.74
F7ARKNCT,22.91934847597235,0.3386873922661734,53.8386969519447,61.48678897365728,0.0,0.02503163077528631,-0.04711612307403677,2.9417678561009017,0.8
