"","MR1","MR2"
"S1",-0.145094487423227,-2.45584103051919
"S2",-0.944945049865532,1.39040093602223
"S3",0.89083843071217,-0.239670362786519
"S4",-1.76335681238439,-0.357930190573825
"S5",0.586377444088012,-0.502944064806517
"S6",-0.500697548004845,-0.566961577724023
"S7",1.02448522196507,-0.124342887447332
"S8",-1.96478718917937,0.367534915644099
"S9",1.74731264992486,0.571437231781329
"S10",-0.699752844313563,1.08766142048497
"S11",-1.21646815382363,0.866642101140901
"S12",1.5639562150682,0.390187330935036
"S13",0.125006917099079,-0.853699408390594
"S14",-0.245948371921861,0.912798817838491
"S15",-0.412860911924058,0.618837026967898
"S16",-0.115408689962352,1.5620264310966
"S17",-0.129125437621345,1.4052528744261
"S18",0.870728961824058,0.449168014664094
"S19",-1.80766665295702,-0.66398962930417
"S20",0.116637245534213,-0.363247948585719
"S21",-1.60487241959868,0.155685087013112
"S22",-0.845204243480256,-0.541252877342682
"S23",0.717030173994524,-1.79525116645648
"S24",0.864548534945224,-0.536734696469228
"S25",-1.41414305701927,0.670028966135424
"S26",0.192944777275566,0.364252378942384
"S27",0.0340721657338639,-0.825757981700404
"S28",0.743232648234523,-0.598045337485979
"S29",-1.09412477380375,0.200293413583308
"S30",-1.50375150783365,0.250074430794744
"S31",-0.709955035606375,-1.20251335024542
"S32",1.43351057120197,1.42342025579902
"S33",-0.505883257086641,-0.0326078679883177
"S34",0.981535377728214,0.324399112322134
"S35",0.357352668289103,0.481294248795364
"S36",0.690477135406676,-0.762139626385274
"S37",1.27174270082597,-0.663908863010988
"S38",-0.704990059661944,0.191374977334181
"S39",-0.435026958210613,0.276901361707299
"S40",-0.806444613722769,-1.45771802692258
"S41",-0.0706872367420363,-0.250356217293077
"S42",1.79780516664693,0.0851991845119027
"S43",-0.20884773891737,0.136951281722979
"S44",0.8492470758258,-0.270428932522604
"S45",-0.154253678773379,-0.145911879474503
"S46",-1.68689761769223,1.42031863271385
"S47",-0.991379731948006,0.0544352383648057
"S48",-0.572834570283034,0.614291882245285
"S49",-0.871008367793835,-0.889124878722226
"S50",-0.994752662818981,0.227752379454985
"S51",0.190359117854459,2.93010091979349
"S52",-0.60467435513416,-0.0500119970338669
"S53",-0.925051873553646,-2.49758277724667
"S54",-1.6000933533683,0.367556069959358
"S55",1.01225796658292,-0.128325353017171
"S56",1.40008996975332,-0.440745006750397
"S57",0.588612484128229,-0.107829490433976
"S58",0.36702296246627,-0.0160754346072206
"S59",-1.00003496147755,0.373558198352986
"S60",1.91714741839745,0.85007333372678
"S61",-2.03224280701002,0.537455582365195
"S62",1.32423976373392,0.629028226069434
"S63",-1.07187360846993,0.339274447275245
"S64",-0.92853558737709,0.859849652329232
"S65",0.330916934348342,0.291294841626807
"S66",1.53986496660938,-0.486600298626029
"S67",0.469389618171921,-0.67638488221225
"S68",0.176494179242709,-0.628134496729513
"S69",-0.0127574439856448,-0.20716608744357
"S70",0.0205792005724244,-1.71611198603757
"S71",-1.82025253122628,0.986616397925385
"S72",0.210380834722929,2.74697262125792
"S73",-0.411751362225961,0.242467427995549
"S74",0.341044335934697,-0.0922294338646399
"S75",0.259206508178052,-1.1265497044639
"S76",-0.338117576712909,-0.951978069575229
"S77",0.0427479650548085,1.14249820634701
"S78",-0.52763636409373,-0.537729601146235
"S79",0.143901354146322,-1.63331260400281
"S80",-1.01018440462563,-0.743173395207748
"S81",-0.207614403185477,-1.69617289483046
"S82",-0.643307295448575,-0.12598791158969
"S83",1.51487299317794,1.26541632350009
"S84",-0.611462463797242,0.0427261766103032
"S85",1.26947616955618,1.76266773144763
"S86",0.601427006700248,0.517533948097584
"S87",-0.112708644012971,-0.335254126300599
"S88",1.91086177207171,0.174836511776179
"S89",0.0803662002489142,0.888485006935184
"S90",1.37732018763841,0.205330505294836
"S91",-0.277144298565581,0.611756868348952
"S92",1.17993067863167,-0.876441487182116
"S93",0.42827657575382,0.5924837993214
"S94",0.0753929440121545,0.977625305410635
"S95",1.44339189654838,-0.210664131303595
"S96",-0.0143103680027191,-0.906990693045951
"S97",0.191878214691868,-2.13840044488065
"S98",-1.08708601631325,-1.32324067514587
"S99",1.67975159916553,-0.828943815074675
"S100",1.41196549854165,0.748187565700326
