ID,neg_llh,r2,AIC,BIC,w_cost,b,beta,test_acc
Z6PMZ8UK,25.34002562109242,0.26884141400901385,56.68005124218484,62.41612025846928,0.4232857847433883,-0.054007625684183255,7.271156089009255,0.72
GTDAS4GM,20.265650653588597,0.415256926033591,46.531301307177195,52.267370323461634,0.3025672284013122,0.07439576586331426,10.0,0.84
AUXKJ27B,26.320997453943626,0.24053655003888996,58.64199490788725,64.37806392417168,0.5590951799713931,0.05445465248630696,8.819222214758035,0.74
QH026G52,15.988953430726188,0.538656323529735,37.977906861452375,43.713975877736814,0.3311419687684283,0.08137154049131722,10.0,0.8
PI8SFZN8,22.029109074027037,0.3643742716739826,50.058218148054074,55.79428716433851,0.5666610754825464,-0.0997182672905175,10.0,0.8
K5PTHLL6,18.832275002470045,0.4566154049055855,43.66455000494009,49.40061902122453,0.0,-0.18366350985827143,2.9957970883960074,0.86
Q8XDAOE3,25.588572795469496,0.26166985849099844,57.17714559093899,62.91321460722343,0.4389618389523232,0.13482775968485333,10.0,0.72
UB6T17K1,28.07259171626868,0.18999622292077167,62.14518343253736,67.8812524488218,0.6538919797002902,-0.1971017045030222,7.760642002026683,0.68
KYJZ17O9,18.72676735391669,0.45965971213246115,43.45353470783338,49.189603724117816,0.42461144135092477,-0.0813026282368595,10.0,0.76
HV05PDE5,20.609067277188785,0.40534801683705457,47.21813455437757,52.95420357066201,0.32108734975173053,0.017029425148091526,8.075660949659598,0.74
SSRJVJOA,30.381204430676483,0.12338374063258473,66.76240886135297,72.4984778776374,0.6027198982458533,-0.140908519827932,6.032485178048424,0.7
GL8A5W2X,18.10877802196594,0.4774911150230138,42.21755604393188,47.95362506021632,0.5273292845297396,-0.11784741797665058,10.0,0.84
FANFDTGF,21.93577449453381,0.3670673383735493,49.87154898906762,55.60761800535206,0.2506725437333835,-0.003878768818580363,6.107723069314813,0.74
Z5Z01L14,25.810126804486,0.25527716108905485,57.620253608972,63.35632262525644,0.49052824069825635,-0.0660529699642703,9.113971935784141,0.74
STEVQFM7,22.509191214463208,0.3505220292094502,51.018382428926415,56.754451445210854,0.5749088321688672,-0.19708554123877076,9.33601817190238,0.72
FLCJYUOE,28.609354176213692,0.174508532138811,63.218708352427385,68.95477736871182,0.4773979957283922,-0.16796199640313922,4.279998414304924,0.66
LOUARDY5,21.531186793875026,0.37874127176045125,49.06237358775005,54.79844260403449,0.36943219313539877,0.2908816886544302,10.0,0.76
HBWS3WRO,14.75538874393614,0.57424947665469,35.510777487872275,41.246846504156714,0.3241980528714451,-0.005205711177330461,10.0,0.88
ZJD9JZUZ,24.90170924291551,0.28148855131173867,55.80341848583102,61.539487502115456,0.43094356162804104,0.19575550133751088,9.598643824860593,0.7
B6FTZK8C,28.256059596546223,0.18470245889999526,62.512119193092445,68.24818820937688,0.5171565446731086,0.12847215373996862,6.434307070694385,0.56
OUPK9NEB,22.889551388602648,0.32606852496918104,51.779102777205296,57.45456367153717,0.7203155761044038,-0.3754763657255867,7.346857581603608,0.7346938775510204
K73KC1UA,12.933775633838462,0.6268101206618149,31.867551267676923,37.60362028396136,0.5165852186799061,-0.3075215941073112,8.86633586426224,0.86
8XBY00ER,16.547418451435096,0.5225424292120011,39.09483690287019,44.83090591915463,0.4139420232200987,-0.11211267893279722,10.0,0.84
GD9WWI5X,26.16661484177577,0.2449910906183711,58.33322968355154,64.06929869983597,0.3696597829896954,0.10656520459010821,7.6743494613055825,0.7
0VHV7J5M,26.323272790711677,0.24047089769745766,58.646545581423354,64.38261459770779,0.5825169776034742,-0.3584869005411121,3.731340623680339,0.72
EAD9PTSG,20.51417014105278,0.40808616939101416,47.02834028210556,52.76440929839,0.47826567657137653,-0.07269547339636101,10.0,0.82
4JX9UQRW,23.78270098908388,0.31377630448207283,53.56540197816776,59.3014709944522,0.7433717331565927,-0.3017810901935641,10.0,0.72
MEEGF97M,24.342815152646374,0.2976148259600072,54.68563030529275,60.42169932157719,0.10831105590579393,1.0,2.194251822966857,0.8
NK21IFFF,29.946810875425363,0.135917689191683,65.89362175085073,71.62969076713516,0.5522519802729593,-0.017126766982984543,6.64774110947581,0.64
FHONN03W,22.415437015030832,0.35322720358112225,50.830874030061665,56.566943046346104,0.494178281050356,-0.1336192108855237,8.898565937599955,0.74
Z65DDRON,-0.0004125056186900913,1.0000119023962084,5.99917498876262,11.735244005047058,0.0,-1.0,10.0,1.0
8JDP1S3Z,12.341003231986148,0.6366468538289574,30.682006463972296,36.35746735830418,0.43251105318364436,-0.15288604446696363,10.0,0.8163265306122449
L9QZ9799,27.992920476950243,0.19229504895809535,61.985840953900485,67.72190997018492,0.2145268424470705,0.24228932673692233,5.63401626278439,0.7
YL4D1KO7,19.91591379344717,0.4253481987084333,45.83182758689434,51.56789660317878,0.31876990554578327,0.12206862815873687,10.0,0.78
YCCX1M79,28.253412968626,0.18477882443950688,62.506825937252,68.24289495353644,0.6357240700453233,0.0770922037496053,4.860924797210217,0.68
