ID,neg_llh,r2,AIC,BIC,w_self,w_magnitude,b,beta,test_acc
Z6PMZ8UK,23.903110208339953,0.3103020288121119,55.806220416679906,63.45431243839249,0.0,0.9746741810128076,0.13562784219208734,9.042506937808252,0.72
GTDAS4GM,20.41611457664801,0.4109154549209808,48.83222915329602,56.480321175008605,1.0,-1.0636691545809622,-0.36435858554314526,6.606518800181578,0.86
AUXKJ27B,26.320953460536867,0.2405378194202853,60.64190692107373,68.28999894278631,0.553053006083377,0.011780422556709282,0.057555276909272,8.810623464907898,0.7
QH026G52,15.882027676115179,0.5417415486481473,39.76405535223036,47.41214737394294,0.6058351301078204,-0.5713465211163002,-0.046461877486323105,10.0,0.8
PI8SFZN8,21.980757760061316,0.36576939569155886,51.96151552012263,59.60960754183522,0.3468055914771395,0.468194512526401,0.003463758202076936,10.0,0.76
K5PTHLL6,18.092765828950395,0.4779531292521594,44.18553165790079,51.833623679613375,1.0,-3.0,-0.6412185788916605,2.45228847358822,0.86
Q8XDAOE3,28.3173983688625,0.18293259604729706,64.634796737725,72.28288875943758,0.9874978105775948,-1.506482330989512,-0.0059898467053061365,4.803313977212384,0.72
UB6T17K1,26.923021758082484,0.22316580047737478,61.84604351616497,69.49413553787755,0.0,1.3513660836557086,0.1117839545327115,8.265778289924292,0.72
KYJZ17O9,18.489727724935324,0.4664992300769727,44.97945544987065,52.627547471583235,0.0,0.8266683125138117,0.1340682897492023,10.0,0.74
HV05PDE5,20.320390329628587,0.41367747285033574,48.640780659257175,56.28887268096976,0.0,0.6950133407855623,0.17154261785147032,8.620965154350815,0.72
SSRJVJOA,29.750053166566257,0.1415949166082372,67.50010633313252,75.14819835484509,1.0,-0.8297444362667169,-0.32213982301361965,6.468248531678692,0.7
GL8A5W2X,17.947602549712062,0.48214165611368587,43.895205099424125,51.54329712113671,0.9047788567605188,-0.7591942363424438,-0.3045383687052553,10.0,0.8
FANFDTGF,23.14144670356916,0.33227899203529054,54.28289340713832,61.9309854288509,0.12715689344360975,-1.21021857304298,-0.026927237243394315,2.154107231143041,0.74
Z5Z01L14,26.89303900248428,0.2240309199336491,61.78607800496856,69.43417002668114,0.9604200098193184,-1.2014921864006394,-0.31342347610581267,4.835531339421442,0.72
STEVQFM7,22.23838122486702,0.3583359537897224,52.47676244973404,60.124854471446625,0.13574520651528593,0.8993459569529488,0.013005259814932855,9.772257890485077,0.7
FLCJYUOE,28.6079121836212,0.1745501392500548,65.21582436724239,72.86391638895498,0.5528629007981354,-0.1453872215928466,-0.20743210747330038,4.281765245997999,0.64
LOUARDY5,21.52157195651003,0.37901869732415994,51.04314391302006,58.691235934732646,0.44039135800019613,-0.13823474049966114,0.2555111853359154,10.0,0.72
HBWS3WRO,14.455333503710444,0.5829072407960172,36.910667007420884,44.55875902913347,0.0,0.7196728336364814,0.13993242180449186,10.0,0.86
ZJD9JZUZ,24.588987077450174,0.2905118056575966,57.17797415490035,64.82606617661293,0.7950792120873063,-0.7364963808496987,0.019205310415151697,10.0,0.7
B6FTZK8C,28.037636313986912,0.1910048226312554,64.07527262797382,71.7233646496864,0.9373591644216869,-0.831529813604356,-0.08632004006687213,6.784796846144198,0.58
OUPK9NEB,21.186331445009685,0.37621601407458405,50.37266289001937,57.93994408246188,0.16408987118509558,1.1622368265234413,-0.07834896152638547,10.0,0.7551020408163265
K73KC1UA,13.458378410796374,0.6116732841667396,34.91675682159275,42.564848843305334,0.957361886368844,-1.9465685986960117,-0.6259041718007214,3.9092566248869747,0.88
8XBY00ER,16.4331313357015,0.5258400583141284,40.866262671403,48.514354693115585,0.08148343568342671,0.659700051705692,0.05604093625586231,10.0,0.82
GD9WWI5X,30.205856844952848,0.12844320247969154,68.4117136899057,76.05980571161828,0.1075692155239426,-0.2168224747062131,0.2804481447819087,1.4655828751494695,0.66
0VHV7J5M,25.987138785728412,0.25016967493872766,59.974277571456824,67.62236959316941,1.0,-0.9221203039530214,-0.5270509641700536,4.0062683924725455,0.7
EAD9PTSG,19.592664007224567,0.4346752159794687,47.185328014449134,54.83342003616172,1.0,-1.0702391544667196,-0.3239429935988115,10.0,0.8
4JX9UQRW,23.335560115231043,0.3266780629077978,54.67112023046209,62.31921225217467,0.09953292086695752,1.1866037711333886,0.03276166495144165,10.0,0.74
MEEGF97M,24.07582242077527,0.30531860776448394,56.15164484155054,63.79973686326313,0.5574602094879934,-3.0,1.9940962759371867,0.9839006561844406,0.78
NK21IFFF,29.865836256834125,0.13825412280527216,67.73167251366826,75.37976453538083,0.23834709147692115,0.6204548905008266,0.14091630271898734,6.692446602554862,0.66
FHONN03W,22.1731262858719,0.36021881332735783,52.3462525717438,59.99434459345638,0.0,1.019725948248741,0.10477683493714496,9.286308253070878,0.74
Z65DDRON,-0.0004992719417548194,1.0000144059430884,7.99900145611649,15.647093477829074,0.0,-3.0,-3.0,4.856837361829399,1.0
8JDP1S3Z,10.722605244203786,0.6842969507913715,29.44521048840757,37.012491680850076,1.0,-1.3276677676298372,-0.4016856006418456,10.0,0.9183673469387755
