ID,neg_llh,r2,AIC,BIC,b,beta,test_acc
Z6PMZ8UK,30.542215112744536,0.11873795438159018,65.08443022548907,68.90847623634536,-1.0,0.8473169072807712,0.7
GTDAS4GM,29.6466658823736,0.14457804305215172,63.2933317647472,67.11737777560349,-1.0,0.9444833964559398,0.72
AUXKJ27B,32.66990974968496,0.05734566435679023,69.33981949936992,73.16386551022622,0.6139781236870996,0.937128351594583,0.64
QH026G52,32.669909749685196,0.057345664356783455,69.33981949937039,73.16386551022669,-1.0,0.5753760889481335,0.64
PI8SFZN8,32.669909749685175,0.05734566435678412,69.33981949937035,73.16386551022664,-1.0,0.5753761056954989,0.64
K5PTHLL6,20.247174263205657,0.4157900419691709,44.494348526411315,48.31839453726761,-1.0,1.815348052000181,0.86
Q8XDAOE3,34.01360001960761,0.01857495857862712,72.02720003921522,75.85124605007151,1.0,0.32277985585675406,0.58
UB6T17K1,32.669909749685125,0.05734566435678545,69.33981949937025,73.16386551022654,-1.0,0.5753761284738336,0.64
KYJZ17O9,28.651845866571076,0.17328248111965927,61.30369173314215,65.12773774399844,-1.0,1.0459933072377123,0.74
HV05PDE5,26.344398081568883,0.239861350650317,56.688796163137766,60.51284217399406,-1.0,1.2656990092496063,0.78
SSRJVJOA,33.64958336046269,0.02907825915761386,71.29916672092538,75.12321273178168,-1.0,0.4054734099387743,0.6
GL8A5W2X,30.54221511274454,0.11873795438159007,65.08443022548909,68.90847623634536,-1.0,0.8473168828036721,0.7
FANFDTGF,26.344398081568894,0.23986135065031677,56.68879616313779,60.51284217399408,-1.0,1.2656990511036974,0.78
Z5Z01L14,31.34247288862118,0.09564739588778881,66.68494577724236,70.50899178809865,-1.0,0.7537883247982157,0.68
STEVQFM7,28.651845866571314,0.1732824811196524,61.30369173314263,65.12773774399892,-1.0,1.0459932063419355,0.74
FLCJYUOE,30.54221511274456,0.1187379543815894,65.08443022548911,68.90847623634541,-1.0,0.8473168505248,0.7
LOUARDY5,29.646665882373856,0.14457804305214428,63.29333176474771,67.117377775604,0.7472380453722441,1.2639656258327943,0.72
HBWS3WRO,25.019121186909274,0.2781007587249199,54.03824237381855,57.86228838467484,-1.0,1.3863319042940674,0.8
ZJD9JZUZ,33.202206338209564,0.041986831385859125,70.40441267641913,74.22845868727542,0.5458391053544545,0.8968898577538118,0.62
B6FTZK8C,32.66990974968496,0.05734566435679023,69.33981949936992,73.16386551022622,0.6139780709278813,0.937128410841751,0.64
OUPK9NEB,27.27537205193003,0.1969378775975329,58.55074410386006,62.334384700081316,-1.0,1.1260382289338975,0.7551020408163265
K73KC1UA,16.25314867957233,0.5310332600229999,36.50629735914466,40.33034337000095,-1.0,2.1973133253037718,0.9
8XBY00ER,23.568674350504587,0.31995180788400246,51.137348701009174,54.961394711865466,-1.0,1.5163908098339143,0.82
GD9WWI5X,33.64958336046272,0.029078259157613084,71.29916672092544,75.12321273178173,-1.0,0.4054733691365548,0.6
0VHV7J5M,27.55299641435212,0.20498857422765615,59.10599282870424,62.93003883956053,-1.0,1.1527071289779076,0.76
EAD9PTSG,31.34247288862118,0.09564739588778881,66.68494577724236,70.50899178809865,-1.0,0.7537883247982157,0.68
4JX9UQRW,31.342472888621185,0.0956473958877887,66.68494577724238,70.50899178809865,-1.0,0.7537883258472611,0.68
MEEGF97M,25.019121186909363,0.27810075872491735,54.038242373818726,57.86228838467502,0.7629142350910161,1.8171527509244942,0.8
NK21IFFF,34.65636903842211,2.8565061012120196e-05,73.31273807684423,77.13678408770052,-1.0,1e-05,0.0
FHONN03W,28.651845866571183,0.17328248111965627,61.303691733142365,65.12773774399865,-1.0,1.0459932570336807,0.74
Z65DDRON,0.0017699247610887617,0.9999489307664886,4.003539849522178,7.82758586037847,-1.0,10.0,1.0
8JDP1S3Z,20.09471960593832,0.40835607502976656,44.18943921187664,47.97307980809789,-1.0,1.7918163420594635,0.8571428571428571
L9QZ9799,33.64958336046274,0.02907825915761242,71.29916672092548,75.12321273178178,-1.0,0.4054733495327067,0.6
YL4D1KO7,32.669909749685075,0.057345664356786896,69.33981949937015,73.16386551022644,-1.0,0.5753761542167014,0.64
YCCX1M79,30.54221511274466,0.11873795438158652,65.08443022548931,68.9084762363456,0.7400348281262129,1.1449687578984797,0.7
ELF75Z11,33.649583360462685,0.029078259157614084,71.29916672092537,75.12321273178166,-1.0,0.4054734506295154,0.6
88SKGELB,20.247174263196797,0.4157900419694266,44.494348526393594,48.31839453724989,-1.0,1.8153497959638196,0.86
KM0U7C3O,20.24717426319682,0.41579004196942604,44.49434852639364,48.31839453724993,-1.0,1.8153498519063163,0.86
3C9HH4P4,26.09309254683584,0.23174744451475837,56.18618509367168,59.969825689892936,-1.0,1.2397224948406467,0.7755102040816326
FPY3G2RN,23.568674350504583,0.31995180788400257,51.13734870100917,54.96139471186546,-1.0,1.5163908072146774,0.82
PV9L0NK4,23.568674350504583,0.31995180788400257,51.13734870100917,54.96139471186546,-1.0,1.5163908218555349,0.82
Y3ZW90BS,18.34524957363535,0.4706679883249182,40.6904991472707,44.51454515812699,-1.0,1.9925021484906942,0.88
ZRL8UU89,32.05077390406182,0.07521014863913222,68.10154780812364,71.92559381897993,-1.0,0.663307615547517,0.66
2353145V,34.656359038622114,2.885359424953382e-05,73.31271807724423,77.13676408810052,-1.0,1e-05,0.5
N9AJLIYJ,34.496187932919845,0.004650414792056745,72.99237586583969,76.81642187669598,-0.9792139190532831,0.1637495554377468,0.54
92AMSAAZ,33.64958336046277,0.02907825915761164,71.29916672092554,75.12321273178183,0.4796004927882172,0.8454402393873603,0.6
N83IXPDK,23.5686743505046,0.319951807884002,51.1373487010092,54.961394711865495,-1.0,1.516390774641499,0.82
JOVIWOO2,30.542215112744586,0.11873795438158874,65.08443022548917,68.90847623634546,-1.0,0.8473168157959813,0.7
1GDCKLZO,11.3473761350301,0.6725839344578061,26.6947522700602,30.518798280916492,-1.0,2.7516912697153573,0.94
X67R06MS,13.937468598433444,0.5978496634098884,31.874937196866888,35.69898320772318,-1.0,2.442459659349278,0.92
Y4N8MCWN,23.56867435050458,0.3199518078840027,51.13734870100916,54.96139471186545,-1.0,1.5163908155110577,0.82
YOMA8T3S,31.342472888621188,0.09564739588778859,66.68494577724238,70.50899178809867,0.7268658535263268,1.0370391630658953,0.68
RE74M6LL,32.0507739040616,0.07521014863913855,68.1015478081232,71.9255938189795,-1.0,0.6633076391694707,0.66
WPMH56EI,34.013600019607566,0.018574958578628342,72.02720003921513,75.85124605007142,-0.9912641057704843,0.32562463666653785,0.58
PTS6FGY5,33.20220633820531,0.041986831385981915,70.40441267641062,74.22845868726691,-1.0,0.48955833515118846,0.62
